ลำดับ,ชื่อผลงาน (Title),ผู้แต่งที่แสดง,วารสาร (Source Title),ปี (Year),ประเภทเอกสาร (Document Type),Quartile,บทบาทผู้แต่ง (Author Role),DOI,Cited by,แหล่งทุน (Funder),รหัสทุน (Grant No.),ประเทศร่วมวิจัย,Abstract (จากเว็บไซต์ MSC),SDG หลัก (ประเมินเบื้องต้นจากชื่อเรื่อง),SDG รอง (อาจเป็นไปได้),เหตุผล/เกณฑ์ที่ใช้ประเมิน,ระดับความเชื่อมั่น,SDG ทางการจาก Scopus (รอเติม),ตรงกัน? (รอเติม),หมายเหตุ
11,Restoring Ampicillin Sensitivity in Multidrug-Resistant Escherichia coli Following Treatment in Combination with Coffee Pulp Extracts,Rawangkan A.,Journal of Microbiology and Biotechnology,2023,Article,Q2,Co-Author,10.4014/jmb.2304.04051,9,University of Phayao,UoE65001,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 12 (?),AMR; ใช้กากกาแฟ (agri-waste valorization) อาจแตะ SDG 12,ปานกลาง,,,
12,Synthesis and potential antidiabetic and lipid-lowering activities of putative asperidine B and its desmethyl analogue,Thongpat K.,Bioorganic and Medicinal Chemistry Letters,2023,Article,Q2,Co-Author,10.1016/j.bmcl.2023.129437,3,National Science and Technology Development Agency,B05F640169,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,เบาหวาน/ไขมัน target 3.4,ปานกลาง,,,
13,Association of abdominal obesity and systolic blood pressure indices with cardiovascular disease risk prediction among community-dwelling older adults,Duangjai A.,Electronic Journal of General Medicine,2023,Article,Q2,First Author,10.29333/ejgm/12855,3,University of Phayao,RSC63004,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,โรคหัวใจและหลอดเลือด (NCDs) target 3.4,สูง,,,
14,"Chlorogenic acid rich in coffee pulp extract suppresses inflammatory status by inhibiting the p38, MAPK, and NF-κB pathways",Ontawong A.,Heliyon,2023,Article,Q1,Co-Author,10.1016/j.heliyon.2023.e13917,35,University of Phayao,UoE63004,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 12 (?),กลไกต้านอักเสบ; ใช้กากกาแฟ,ปานกลาง,,,
15,Proximate composition and sensory attributes of gluten-free pasta made from jackfruit seeds,Thatsanasuwan N.,Functional Foods in Health and Disease,2023,Article,Q2,Co-Author,10.31989/ffhd.v13i1.1039,19,,,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 2,SDG 3; SDG 12 (?),การพัฒนาผลิตภัณฑ์อาหารจากเมล็ดขนุน (ของเหลือ) เอนไปทาง SDG 2 มากกว่า,ปานกลาง,,,
16,Dinactin: A New Antitumor Antibiotic with Cell Cycle Progression and Cancer Stemness Inhibiting Activities in Lung Cancer,Rawangkan A.,Antibiotics,2022,Article,Q1,Co-Author,10.3390/antibiotics11121845,7,Otago School of Medical Sciences,FF64-RIM030,Thailand; Brazil,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,มะเร็งปอด target 3.4,สูง,,,
17,"Botanical aspects, phytochemicals, and toxicity of Tamarindus indica leaf and a systematic review of antioxidant capacities of T. indica leaf extracts",Sookying S.,Frontiers in Nutrition,2022,Review,Q1,Co-Author,10.3389/fnut.2022.977015,17,,,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 2 (?),พฤกษเคมี/ความเป็นพิษ; ความเชื่อมโยง SDG ไม่ชัด,ต่ำ,,,
18,Antibacterial Activity of Coffea robusta Leaf Extract against Foodborne Pathogens,Yosboonruang A.,Journal of Microbiology and Biotechnology,2022,Article,Q2,Co-Author,10.4014/jmb.2204.04003,17,University of Phayao,FF65-UoE63004,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 2 (?),ความปลอดภัยอาหาร/เชื้อก่อโรคจากอาหาร,ปานกลาง,,,
19,"Cholesterol-Lowering Effects of Asperidine B, a Pyrrolidine Derivative from the Soil-Derived Fungus Aspergillus sclerotiorum PSU-RSPG178: A Potential Cholesterol Absorption Inhibitor",Ontawong A.,Pharmaceuticals,2022,Article,Q1,Co-Author,10.3390/ph15080955,7,National Science and Technology Development Agency,B05F640169,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,ไขมันในเลือดสูง (NCDs),ปานกลาง,,,
20,Anticancer Activities of Polygonum odoratum Lour.: A Systematic Review,Khuayjarernpanishk T.,Frontiers in Pharmacology,2022,Review,Q1,Co-Author,10.3389/fphar.2022.875016,7,,,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,มะเร็ง target 3.4,ปานกลาง,,,
21,Potential Antimicrobial Properties of Coffee Beans and Coffee By-Products Against Drug-Resistant Vibrio cholerae,Rawangkan A.,Frontiers in Nutrition,2022,Article,Q1,Co-Author,10.3389/fnut.2022.865684,37,University of Phayao,FF64-UoE64002,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 6 (?); SDG 12 (?),อหิวาตกโรคเป็นโรคทางน้ำ อาจแตะ SDG 6; ใช้ by-product อาจแตะ SDG 12,ปานกลาง,,,
22,Antimicrobial Activity of the Green Tea Polyphenol (−)-Epigallocatechin-3-Gallate (EGCG) against Clinical Isolates of Multidrug-Resistant Vibrio cholerae,Siriphap A.,Antibiotics,2022,Article,Q1,Co-Author,10.3390/antibiotics11040518,51,University of Phayao,621003,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 6 (?),AMR + โรคทางน้ำ,ปานกลาง,,,
23,Impact of Pharmacist-Led Diabetes Self-Care Education on Patients With Type 2 Diabetes in Pakistan: A Randomized Controlled Trial,Bukhsh A.,Frontiers in Pharmacology,2022,Article,Q1,Co-Author,10.3389/fphar.2022.754999,15,University of Phayao,FF65-UoE005,Pakistan; Thailand; Malaysia; China,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 4 (?),เบาหวานชนิดที่ 2; องค์ประกอบให้ความรู้ผู้ป่วยอาจแตะ SDG 4 แต่ไม่แน่ชัด,ปานกลาง,,,
24,Novel clinical risk scoring model for predicting mortality in patients with necrotizing fasciitis: The MNF scoring system,Khamnuan P.,Medicine (United States),2021,Article,,Co-Author,10.1097/MD.0000000000028219,7,,,Malaysia; Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,การพยากรณ์การเสียชีวิต target 3.4/3.8,สูง,,,
25,Mitigation of Environmental Stress-Impacts in Plants: Role of Sole and Combinatory Exogenous Application of Glutathione,Koh Y.S.,Frontiers in Plant Science,2021,Review,Q1,Co-Author,10.3389/fpls.2021.791205,61,Office of the Higher Education Commission,,Malaysia; Turkey; Thailand; China,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 2,SDG 13 (?); SDG 15 (?),ความทนเครียดของพืช = ผลิตภาพเกษตร (SDG 2); อาจแตะ SDG 13/15,ปานกลาง,,,
26,Coffee Consumption and Non-alcoholic Fatty Liver Disease: An Umbrella Review and a Systematic Review and Meta-analysis,Kositamongkol C.,Frontiers in Pharmacology,2021,Review,Q1,Co-Author,10.3389/fphar.2021.786596,45,University of Phayao,FF65-UoE005,Thailand; United States; Malaysia,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,โรคตับ (NCDs),สูง,,,
27,Novel Clinical Risk Scoring Model for Predicting Amputation in Patients With Necrotizing Fasciitis: The ANF Risk Scoring System,Chaomuang N.,Frontiers in Medicine,2021,Article,,Co-Author,10.3389/fmed.2021.719830,7,University of Phayao,,Thailand; Malaysia,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,ผลลัพธ์ทางคลินิก target 3.8,สูง,,,
28,Coffea arabica pulp aqueous extract attenuates oxidative stress and hepatic lipid accumulation in HepG2 cells,Ontawong A.,Journal of Herbal Medicine,2021,Article,Q2,Co-Author,10.1016/j.hermed.2021.100465,15,Chiang Mai University,66/2560,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 12 (?),ไขมันพอกตับ; ใช้กากกาแฟ,ปานกลาง,,,
29,"Antispasmodic effect of asperidine B, a pyrrolidine derivative, through inhibition of L-type Ca2+ channel in rat ileal smooth muscle",Duangjai A.,Molecules,2021,Article,Q1,First Author,10.3390/molecules26185492,3,National Science and Technology Development Agency,UoE64002,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,เภสัชวิทยาทางเดินอาหาร,ปานกลาง,,,
30,Shifting of Physicochemical and Biological Characteristics of Coffee Roasting Under Ultrasound-Assisted Extraction,Duangjai A.,Frontiers in Nutrition,2021,Article,Q1,First Author,10.3389/fnut.2021.724591,12,Office of the Higher Education Commission,FF64-UoE003,Thailand; Malaysia; China,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 2,SDG 3 (?); SDG 12 (?),กระบวนการแปรรูปอาหาร; การจัดกลุ่มไม่ชัดเจน,ต่ำ,,,
31,Harnessing the potential of CRISPR/Cas in atherosclerosis: Disease modeling and therapeutic applications,Siew W.S.,International Journal of Molecular Sciences,2021,Review,Q1,Co-Author,10.3390/ijms22168422,15,"Ministry of Higher Education, Malaysia",FRGS/1/2019/SKK08/TAYLOR/02/2,Malaysia; Australia; Thailand; China; Italy,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,โรคหลอดเลือดแดงแข็ง (NCDs),สูง,,,
32,Coffea arabica bean extract inhibits glucose transport and disaccharidase activity in Caco-2 cells,Ontawong A.,Biomedical Reports,2021,Article,Q1,Co-Author,10.3892/BR.2021.1449,17,University of Phayao,FF64-RIB008,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,กลไกควบคุมน้ำตาล/เบาหวาน,ปานกลาง,,,
33,Anti-influenza with green tea catechins: A systematic review and meta-analysis,Rawangkan A.,Molecules,2021,Article,Q1,Co-Author,10.3390/molecules26134014,16,University of Phayao,FF64-UoE003,Malaysia; Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,โรคติดต่อ target 3.3,สูง,,,
34,"High-efficacy α,β-dehydromonacolin S improves hepatic steatosis and suppresses gluconeogenesis pathway in high-fat diet-induced obese rats",Kaewmalee J.,Pharmaceuticals,2021,Article,Q1,Co-Author,10.3390/ph14040375,5,National Science and Technology Development Agency,RSA5980009,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,โรคอ้วน/ไขมันพอกตับ,ปานกลาง,,,
35,Antidiabetic and renoprotective effects of Coffea arabica pulp aqueous extract through preserving organic cation transport system mediated oxidative stress pathway in experimental type 2 diabetic rats,Boonphang O.,Molecules,2021,Article,Q1,Co-Author,10.3390/molecules26071907,28,National Science and Technology Development Agency,116/2559,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 12 (?),เบาหวาน/ไต; ใช้กากกาแฟ,ปานกลาง,,,
36,"Effect of roasting degree, extraction time, and temperature of coffee beans on anti-hyperglycaemic and anti-hyperlipidaemic activities using ultrasound-assisted extraction",Duangjai A.,Preventive Nutrition and Food Science,2021,Article,Q2,First Author,10.3746/PNF.2021.26.3.338,16,National Science and Technology Development Agency,FF64-UoE003,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 2 (?),ฤทธิ์ลดน้ำตาล/ไขมัน,ปานกลาง,,,
37,Tiliacora triandra (Colebr.) Diels leaf aqueous extract inhibits hepatic glucose production in HepG2 cells and type 2 diabetic rats,Pasachan T.,Molecules,2021,Article,Q1,Co-Author,10.3390/molecules26051239,14,National Science and Technology Development Agency,PHD58I0009,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,เบาหวานชนิดที่ 2,ปานกลาง,,,
38,Unraveling the Immunopathogenesis and Genetic Variants in Vasculitis Toward Development of Personalized Medicine,Yap B.J.M.,Frontiers in Cardiovascular Medicine,2021,Short Survey,Q1,Co-Author,10.3389/fcvm.2021.732369,5,"Ministry of Higher Education, Malaysia",FF64-UoE003,Thailand; Malaysia; China,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,โรคหลอดเลือดอักเสบ,ปานกลาง,,,
39,Spasmolytic effect of Acmella oleracea flowers extract on isolated rat ileum,Duangjai A.,Journal of Herbmed Pharmacology,2021,Article,Q4,First Author,10.34172/jhp.2021.11,1,National Science and Technology Development Agency,UoE62003,Malaysia; Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,เภสัชวิทยาทางเดินอาหาร,ปานกลาง,,,
40,"Author Correction: Streptomyces monashensis sp. nov., a novel mangrove soil actinobacterium from East Malaysia with antioxidative potential",Law J.W.F.,Scientific Reports,2020,Erratum,Q1,Co-Author,10.1038/s41598-019-55964-4,0,UK Research and Innovation,103626,China; Malaysia; Thailand; Pakistan,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),ไม่ทราบ,,เอกสารประเภท Erratum การติดป้าย SDG ของ Scopus กับเอกสารประเภทนี้ ไม่สามารถระบุได้จากข้อมูลที่มี,ไม่ทราบ,,,
41,Assessment of Polygonum odoratum Lour. Leaf Extract on Rat's Ileum Contraction and the Mechanisms Involved,Duangjai A.,Journal of Medicinal Food,2020,Article,Q2,First Author,10.1089/jmf.2020.4769,3,University of Phayao,UoE62007,Malaysia; Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,เภสัชวิทยาทางเดินอาหาร,ปานกลาง,,,
42,Impact of long-term exposure wildfire smog on respiratory health outcomes,Ontawong A.,Expert Review of Respiratory Medicine,2020,Article,Q1,Co-Author,10.1080/17476348.2020.1740089,24,,,Malaysia; Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 11 (?); SDG 13 (?),มลพิษอากาศ target 3.9 ชัดเจน; อาจแตะ SDG 11/13,สูง,,,
43,Bioprospecting of Microbes for Valuable Compounds to Mankind,Mutalib N.S.A.,Progress in Microbes and Molecular Biology,2020,Article,Q1,Co-Author,10.36877/pmmb.a0000088,35,,,Hong Kong; Malaysia; Indonesia; Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),ไม่ทราบ,SDG 3 (?); SDG 15 (?),หัวข้อกว้างมาก ไม่สามารถระบุ SDG หลักได้อย่างมั่นใจ,ต่ำ,,,
44,Screening for biological activities of Spirogyra neglecta water extract,Yosboonruang A.,Walailak Journal of Science and Technology,2020,Article,,Co-Author,10.48048/wjst.2020.4638,12,University of Phayao,,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 14 (?),สาหร่ายน้ำจืด; ความเชื่อมโยง SDG ไม่ชัด,ต่ำ,,,
45,Acetaminophen use and risk of renal impairment: A systematic review and meta-analysis,Kanchanasurakit S.,Kidney Research and Clinical Practice,2020,Article,Q1,Co-Author,10.23876/j.krcp.19.106,33,University of Phayao,UoE62003,Malaysia; Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,ความปลอดภัยด้านยา/โรคไต,สูง,,,
46,"Streptomyces monashensis sp. nov., a novel mangrove soil actinobacterium from East Malaysia with antioxidative potential",Law J.W.F.,Scientific Reports,2019,Article,Q1,Co-Author,10.1038/s41598-019-39592-6,71,UK Research and Innovation,GBA-808813,China; Malaysia; Thailand; Pakistan,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),ไม่ทราบ,SDG 15 (?); SDG 14 (?),อนุกรมวิธานจุลินทรีย์ดินป่าชายเลน; ป่าชายเลนคาบเกี่ยว SDG 14 และ 15,ต่ำ,,,
47,Characterisation of an extract and fractions of Azadirachta indica flower on cholesterol lowering property and intestinal motility,Duangjai A.,Natural Product Research,2019,Article,Q1,First Author,10.1080/14786419.2017.1416386,12,National Research Council of Thailand,RD59052,Malaysia; Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,ลดคอเลสเตอรอล (NCDs),ปานกลาง,,,
48,Siamese neem flower extract suppresses cholesterol absorption by interfering NPC1L1 and micellar property in vitro and in intestinal Caco-2 cells,Duangjai A.,Research in Pharmaceutical Sciences,2019,Article,Q1,First Author,10.4103/1735-5362.258485,8,Chiang Mai University,66/2558,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,ลดคอเลสเตอรอล (NCDs),ปานกลาง,,,
49,Hepatoprotective effect of coffee pulp aqueous extract combined with simvastatin against hepatic steatosis in high-fat diet-induced obese rats,Ontawong A.,Journal of Functional Foods,2019,Article,Q1,Co-Author,10.1016/j.jff.2019.02.011,29,Chiang Mai University,116/2559,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 12 (?),ไขมันพอกตับ; ใช้กากกาแฟ,ปานกลาง,,,
50,Inhibitory effects of Tiliacora triandra (Colebr.) Diels on cholesterol absorption,Duangjai A.,Journal of Complementary and Integrative Medicine,2019,Article,Q2,First Author,10.1515/jcim-2017-0169,8,,,Malaysia; Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,ลดคอเลสเตอรอล (NCDs),ปานกลาง,,,
51,Spirogyra neglecta aqueous extract attenuates LPS-induced renal inflammation,Ontawong A.,Biological and Pharmaceutical Bulletin,2019,Article,Q3,Co-Author,10.1248/bpb.b19-00199,7,Thailand Research Fund,RSA5980009,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,การอักเสบของไต,ปานกลาง,,,
52,Lipid-lowering effects of Coffea arabica pulp aqueous extract in Caco-2 cells and hypercholesterolemic rats,Ontawong A.,Phytomedicine,2019,Article,Q1,Co-Author,10.1016/j.phymed.2018.06.021,59,Chiang Mai University,66/2560,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 12 (?),ลดไขมัน; ใช้กากกาแฟ,ปานกลาง,,,
53,Relaxant effects of Azadirachta indica A. Juss var. siamensis Valeton flower extract on isolated rat ileum contractions and the mechanisms of action,Duangjai A.,Journal of Traditional and Complementary Medicine,2018,Article,Q1,First Author,10.1016/j.jtcme.2018.01.003,7,,,Malaysia; Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,เภสัชวิทยาทางเดินอาหาร,ปานกลาง,,,
54,"Asperidines A–C, pyrrolidine and piperidine derivatives from the soil-derived fungus Aspergillus sclerotiorum PSU-RSPG178",Phainuphong P.,Bioorganic and Medicinal Chemistry,2018,Article,Q1,Co-Author,10.1016/j.bmc.2018.07.036,21,National Science and Technology Development Agency,PHD/0031/2555,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),ไม่ทราบ,SDG 3 (?),เคมีผลิตภัณฑ์ธรรมชาติล้วน อาจไม่ถูกติดป้าย SDG ใด ๆ,ต่ำ,,,
55,Potential of coffee fruit extract and quinic acid on adipogenesis and lipolysis in 3T3-L1 adipocytes,Duangjai A.,Kobe Journal of Medical Sciences,2018,Article,Q3,First Author,,34,National Research Council of Thailand,RD60076,Malaysia; Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,โรคอ้วน (NCDs); ไม่มี DOI ในระบบ ใช้ Scopus EID 85055434266,ปานกลาง,,,
56,Focused review: Cytotoxic and antioxidant potentials of mangrove-derived streptomyces,Ser H.L.,Frontiers in Microbiology,2017,Review,Q1,Co-Author,10.3389/fmicb.2017.02065,75,"Kementerian Sains, Teknologi dan Inovasi",GBA-808813,China; Malaysia; Pakistan; Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),ไม่ทราบ,SDG 3 (?); SDG 14 (?),ฤทธิ์ต้านมะเร็งจากจุลินทรีย์ป่าชายเลน; การจัดกลุ่มไม่ชัดเจน,ต่ำ,,,
57,Streptomyces sp. MUM212 as a source of antioxidants with radical scavenging and metal chelating properties,Tan L.T.H.,Frontiers in Pharmacology,2017,Article,Q1,Co-Author,10.3389/fphar.2017.00276,91,,,Saudi Arabia; Malaysia; Thailand; Pakistan,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),ไม่ทราบ,SDG 3 (?),การค้นหาสารต้านอนุมูลอิสระ ไม่ระบุโรคเป้าหมายชัดเจน,ต่ำ,,,
58,"Streptomyces colonosanans sp. nov., a novel actinobacterium isolated from Malaysia mangrove soil exhibiting antioxidative activity and cytotoxic potential against human colon cancer cell lines",Law J.W.F.,Frontiers in Microbiology,2017,Article,Q1,Co-Author,10.3389/fmicb.2017.00877,95,,,Malaysia; Saudi Arabia; Pakistan; Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 15 (?); SDG 14 (?),มะเร็งลำไส้ใหญ่ target 3.4; แหล่งจุลินทรีย์ป่าชายเลน,ปานกลาง,,,
